name,sites
5411: Practicum in Operating Systems,"[{'Fall 21': 'http://www.cs.cornell.edu/courses/CS5411/2021fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5411'}]"
5412: Cloud Computing,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5412/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5412'}]"
5414: Distributed Computing Principles,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS5414/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/5414', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS5414/2019fa/', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5414/2020fa/'}]"
5420: Advanced Computer Architecture,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5420'}]
5424: Developing and Designing Interactive Devices,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5424'}]
5430: System Security,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS5430/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5430', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5430/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5430/2021fa/'}]"
5431: Practicum in System Security,"[{'Spring 17': 'http://www.cs.cornell.edu/courses/CS5431/2017sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP19/class/CS/5431'}]"
5432: Advanced System Security,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5432/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/5432'}]"
"5433: Blockchains, Cryptocurrencies, and Smart Contracts",[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5433'}]
5435: Security and Privacy Concepts in the Wild,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5435'}]
5436: Privacy in the Digital Age,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5436'}]
5439: Practicum in Computer Security,"[{'Fall 18': 'https://github.com/cornelltech/CS5439-Fall2018', ' CR': 'https://classes.cornell.edu/browse/roster/FA18/class/CS/5439'}]"
5450: Networked and Distributed Systems,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/5450', 'Fall 18': 'https://pages.github.coecis.cornell.edu/cs5450/website/'}]"
